year,month,level,category,units,yoy_pct
2025,10,model,,349,
2025,10,model,,349,
2025,10,model,,349,
2025,10,model,,697,
2025,10,model,,697,
2025,10,model,,697,
2025,10,model,,697,
2025,10,model,,697,
2025,10,model,,1395,
2025,10,model,,1743,
2025,10,model,,2092,
2025,10,model,,2092,
2025,10,model,,2790,
2025,10,model,,3138,
2025,10,model,,3138,
2025,10,model,,3487,
2025,10,model,,4882,
2025,10,model,,6277,
2025,10,model,,7323,
2025,10,model,,9066,
2025,10,total,TOTAL,47032,24.7
2025,9,maker,,10,
2025,9,maker,,20,
2025,9,maker,,20,
2025,9,maker,,40,
2025,9,maker,,40,
2025,9,maker,,60,
2025,9,maker,,60,
2025,9,maker,,80,
2025,9,maker,,360,
2025,9,maker,,480,
2025,9,maker,,480,
2025,9,maker,,560,
2025,9,maker,,830,
2025,9,maker,,272815,
2025,9,maker,,128,
2025,9,maker,,146,
2025,9,maker,,150,
2025,9,maker,,161,
2025,9,maker,,167,
2025,9,maker,,193,
2025,9,maker,,194,
2025,9,maker,,212,
2025,9,maker,,215,
2025,9,maker,,301,
2025,9,maker,,335,
2025,9,maker,,396,
2025,9,maker,,408,
2025,9,maker,,423,
2025,9,maker,,426,
2025,9,maker,,458,
2025,9,maker,,630,
2025,9,maker,,935,
2025,9,maker,,936,
2025,9,maker,,1373,
2025,9,maker,,1684,
2025,9,maker,,1724,
2025,9,maker,,1936,
2025,9,maker,,2448,
2025,9,maker,,4453,
2025,9,maker,,5601,
2025,9,maker,,18487,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,320,
2025,9,model,,641,
2025,9,model,,641,
2025,9,model,,641,
2025,9,model,,641,
2025,9,model,,320,
2025,9,model,,641,
