year,month,level,category,units,yoy_pct
2024,11,model,,30,
2024,11,model,,30,
2024,11,model,,30,
2024,11,model,,59,
2024,11,model,,59,
2024,11,model,,59,
2024,11,model,,59,
2024,11,model,,59,
2024,11,model,,59,
2024,11,model,,89,
2024,11,model,,119,
2024,11,model,,119,
2024,11,model,,178,
2024,11,model,,208,
2024,11,model,,237,
2024,11,model,,327,
2024,11,model,,356,
2024,11,model,,475,
2024,11,model,,534,
2024,11,model,,594,
2024,11,model,,1573,
2024,11,model,,2434,
2024,11,model,,3354,
2024,10,maker,,10,
2024,10,maker,,20,
2024,10,maker,,90,
2024,10,maker,,400,
2024,10,maker,,540,
2024,10,maker,,620,
2024,10,maker,,680,
2024,10,maker,,123,
2024,10,maker,,155,
2024,10,maker,,256,
2024,10,maker,,301,
2024,10,maker,,347,
2024,10,maker,,520,
2024,10,maker,,881,
2024,10,maker,,1239,
2024,10,maker,,1787,
2024,10,maker,,4922,
2024,10,maker,,17008,
2024,10,model,,30,
2024,10,model,,30,
2024,10,model,,30,
2024,10,model,,30,
2024,10,model,,30,
2024,10,model,,30,
2024,10,model,,30,
2024,10,model,,60,
2024,10,model,,60,
2024,10,model,,60,
2024,10,model,,60,
2024,10,model,,90,
2024,10,model,,90,
2024,10,model,,120,
2024,10,model,,149,
2024,10,model,,179,
2024,10,model,,209,
2024,10,model,,448,
2024,10,model,,598,
2024,10,model,,628,
2024,10,model,,777,
2024,10,model,,2332,
2024,10,model,,3468,
2024,9,maker,,10,
2024,9,maker,,20,
2024,9,maker,,70,
2024,9,maker,,150,
2024,9,maker,,430,
2024,9,maker,,600,
2024,9,maker,,930,
2024,9,maker,,156,
2024,9,maker,,182,
2024,9,maker,,259,
2024,9,maker,,361,
2024,9,maker,,401,
2024,9,maker,,452,
2024,9,maker,,749,
2024,9,maker,,1210,
2024,9,maker,,1973,
2024,9,maker,,5257,
2024,9,maker,,18626,
2024,9,model,,32,
2024,9,model,,32,
2024,9,model,,32,
2024,9,model,,32,
2024,9,model,,64,
2024,9,model,,64,
2024,9,model,,64,
2024,9,model,,64,
2024,9,model,,127,
2024,9,model,,127,
2024,9,model,,159,
2024,9,model,,509,
2024,9,model,,732,
2024,9,model,,923,
2024,9,model,,2833,
2024,9,model,,4234,
2024,8,maker,,10,
2024,8,maker,,10,
2024,8,maker,,50,
2024,8,maker,,90,
2024,8,maker,,150,
2024,8,maker,,630,
2024,8,maker,,750,
2024,8,maker,,860,
2024,8,maker,,158,
2024,8,maker,,277,
2024,8,maker,,316,
2024,8,maker,,400,
2024,8,maker,,505,
2024,8,maker,,581,
2024,8,maker,,1086,
2024,8,maker,,2113,
2024,8,maker,,5565,
2024,8,maker,,20324,
2024,8,model,,34,
2024,8,model,,34,
2024,8,model,,34,
2024,8,model,,34,
2024,8,model,,68,
2024,8,model,,68,
2024,8,model,,136,
2024,8,model,,136,
2024,8,model,,169,
2024,8,model,,271,
2024,8,model,,610,
2024,8,model,,711,
2024,8,model,,779,
2024,8,model,,948,
2024,8,model,,2710,
2024,8,model,,4336,
2024,5,total,TOTAL,49871,-23.38
