country,year,month,level,maker,model,category,seats,region,units,units_ytd,yoy_pct,is_subtotal,source,source_url,source_name,source_site
TH,2026,1,total,,,TOTAL,,ALL,73936,,53.77,0,fti,https://autolifethailand.tv/fti-sale-report-in-january-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,12,total,,,TOTAL,,ALL,75121,,39.0,0,fti,https://autolifethailand.tv/fti-report-production-industries-thailand-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,10,total,,,TOTAL,,ALL,47032,,24.7,0,fti,https://autolifethailand.tv/car-sale-report-october/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,9,powertrain,,,ICE,,ALL,9065,97287,-22.08,0,fti,https://autolifethailand.tv/sale-report-sep-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,9,powertrain,,,BEV,,ALL,9107,81351,99.1,0,fti,https://autolifethailand.tv/sale-report-sep-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,9,powertrain,,,PHEV,,ALL,637,6803,223.35,0,fti,https://autolifethailand.tv/sale-report-sep-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,9,powertrain,,,REEV,,ALL,149,580,100.0,0,fti,https://autolifethailand.tv/sale-report-sep-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,9,powertrain,,,HEV,,ALL,12764,102370,108.73,0,fti,https://autolifethailand.tv/sale-report-sep-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,9,segment,,,PICKUP_1T,,ALL,,11049,,0,fti,https://autolifethailand.tv/sale-report-sep-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,9,total,,,TOTAL,,ALL,48350,,23.82,0,fti,https://autolifethailand.tv/sale-report-sep-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,6,powertrain,,,ICE,,ALL,12242,,-3.36,0,fti,https://autolifethailand.tv/sale-report-june-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,6,powertrain,,,PHEV,,ALL,557,,150.9,0,fti,https://autolifethailand.tv/sale-report-june-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,6,powertrain,,,HEV,,ALL,10190,,3.49,0,fti,https://autolifethailand.tv/sale-report-june-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,6,segment,,,PICKUP_1T,,ALL,11153,,-20.74,0,fti,https://autolifethailand.tv/sale-report-june-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,6,total,,,TOTAL,,ALL,50079,,5.0,0,fti,https://autolifethailand.tv/sale-report-june-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,4,total,,,TOTAL,,ALL,47193,,0.97,0,fti,https://autolifethailand.tv/sales-report-april-2025/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,3,total,,,TOTAL,,ALL,55798,,,0,fti,https://autolifethailand.tv/sales-report-first-quarter/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,1,segment,,,PPV,,ALL,3102,,0.91,0,fti,https://autolifethailand.tv/fti-pick-up-truck-loan/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2025,1,total,,,TOTAL,,ALL,48092,,-12.26,0,fti,https://autolifethailand.tv/fti-pick-up-truck-loan/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2024,5,total,,,TOTAL,,ALL,49871,,-23.38,0,fti,https://autolifethailand.tv/car-sale-may-fti/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
VN,2026,6,maker,BUS THACO,,,,ALL,156,1063,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,BUS THACO,,,,Central,33,205,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,BUS THACO,,,,North,96,546,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,BUS THACO,,,,South,27,312,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
