year,month,maker,model,vama_class,seats,units,units_ytd
2026,7,SAMCO,Hooklift,Hooklift (SPV),3 seats,,3
2026,7,SAMCO,Fire truck,Fire fighting truck (SPV),7 seats,,2
2026,7,SAMCO,Vaccum tank truck,Vaccum tank truck (SPV),3 seats,,4
2026,7,SAMCO,Garbage compactor truck,Garbage compactor truck (SPV),3 seats,,4
2026,7,SAMCO,SAMCO B40 ~ B80,Large bus,40 seats,,70
2026,7,Toyota,Alphard,MPV,7 seats,,11
2026,7,Toyota,Fortuner,SUV,7 seats,,183
2026,7,Toyota,Corolla Hybrid,Hybrid,6 seats,,2
2026,7,Toyota,Corolla,Sedan,5 seats,,14
2026,7,Toyota,Camry,Sedan,5 seats,,75
2026,7,Mitsubishi,Pajero Sport,SUV,7 seats,,81
2026,6,THACO TRUCK,Truck,Light truck,2 seats,2173,12519
2026,6,THACO MAZDA,CX-5,Crossover,5 seats,1144,8123
2026,6,Mitsubishi,Xforce,SUV,5 seats,1095,6299
2026,6,Toyota,Hilux,Pick-up,5 seats,1000,3981
2026,6,Toyota,Yaris Cross,SUV,5 seats,982,7039
2026,6,Mitsubishi,Xpander (CBU),MPV,7 seats,922,6203
2026,6,Honda Honda,CITY,Sedan,5 seats,912,3522
2026,6,Toyota,Innova Cross Hybrid,Hybrid,7 seats,884,2511
2026,6,Isuzu,Truck,Other Truck,3 seats,874,4933
2026,6,Ford,Everest,SUV,7 seats,818,6101
2026,6,Toyota,Innova Cross,MPV,8 seats,786,3112
2026,6,Ford,Territory,MPV,5 seats,784,6144
2026,6,THACO KIA,Seltos,Crossover,5 seats,702,4529
2026,6,Mitsubishi,Destinator,SUV,7 seats,687,5189
2026,6,Ford,Ranger CKD,Pick-up,5 seats,676,5559
2026,6,Toyota,Veloz Cross,MPV,7 seats,622,5097
2026,6,Toyota,Corolla Cross Hybrid,Hybrid,5 seats,584,2800
2026,6,THACO KIA,Sonet,Crossover,5 seats,550,3981
2026,6,THACO MAZDA,Mazda2,Sedan,5 seats,471,2592
2026,6,THACO KIA,Carnival,MPV,7 seats,454,2314
2026,6,Toyota,Vios,Sedan,5 seats,436,4549
2026,6,THACO KIA6. VA,CMareAnssendtomedia_June26,SUV,Pa7g seeats 1,409,
2026,6,Honda,HR-V,SUV,5 seats,395,1874
2026,6,Honda,CR-V Hybrid,Hybrid,5 seats,300,1831
2026,6,THACO MAZDA,CX-8,SUV,7 seats,287,1781
2026,6,Ford,Transit,Minibus,16 seats,281,1931
2026,6,Suzuki,Super Carry Pro,Small truck,2 seats,277,1495
2026,6,THACO KIA,Sportage,SUV,5 seats,275,938
2026,6,Toyota,Raize,SUV,5 seats,248,1552
2026,6,Hino,HINO,Other Truck,3 seats,229,1667
2026,6,Toyota,Yaris Cross Hybrid,Hybrid,5 seats,224,1107
2026,6,Mitsubishi,Triton,Pick-up,5 seats,221,1540
2026,6,Toyota,Corolla Cross,SUV,5 seats,195,911
2026,6,JMC,IZ,Light truck,,193,1173
2026,6,THACO MAZDA,Mazda3,Sedan,5 seats,190,1566
2026,6,Toyota,Fortuner (CBU),SUV,7 seats,181,603
2026,6,Ford,Ranger CBU,Pick-up,5 seats,176,1427
2026,6,Toyota,Camry Hybrid,Hybrid,5 seats,168,484
2026,6,THACO KIA,Sorento,SUV,7 seats,167,563
2026,6,Suzuki,Fronx,SUV,5 seats,164,644
2026,6,BUS THACO,Bus,Large bus,12 ~ 45 seats,156,1063
2026,6,Honda,BR-V,MPV,7 seats,143,1270
2026,6,Honda,CR-V,SUV,7 seats,143,1723
2026,6,Mitsubishi,Xpander (CKD),MPV,7 seats,129,1588
2026,6,THACO PREMIUM,Peugeot,Peugeot,7 seats,122,670
2026,6,THACO MAZDA,CX-3,SUV,5 seats,120,589
2026,6,THACO KIA,Xe khác,Others,5 seats,118,931
2026,6,Mitsubishi,Attrage,Sedan,5 seats,104,717
2026,6,THACO MAZDA,CX-30,SUV,5 seats,101,599
2026,6,Suzuki,XL7 Hybrid,Hybrid,7 seats,79,995
2026,6,Honda,HR-V Hybrid,Hybrid 5 seats,,72,645
2026,6,Toyota,Landcruiser,SUV,7 seats,69,377
2026,6,Suzuki,EECO,Van,2 seats,68,371
2026,6,THACO MAZDA,Xe khác,SUV,,48,48
2026,6,Missu Tải,Missu,Small truck,,43,108
2026,6,Toyota,Avanza Premio CKD,MPV,7 seats,40,427
2026,6,Toyota,Land Prado,SUV,7 seats,39,195
2026,6,Suzuki,Jimny,SUV,4 seats,37,154
2026,6,Honda,Civic,Sedan,5 seats,35,126
2026,6,Toyota,Alphard Hybrid,Hybrid,7 seats,34,177
2026,6,Suzuki,Swift,Hatchback,5 seats,29,155
2026,6,Isuzu,D-Max,Pick-up,5 seats,18,370
2026,6,Missu Van,Missu,Van,,14,36
2026,6,Isuzu,mu-X,SUV,7 seats,8,82
2026,6,Ford,Mach-E,BEV,5 seats,6,70
2026,6,VIDABUS,G12,Large bus,47 seats,5,25
2026,6,SAMCO,SAMCO 24 CN ~ 46CN,Medium bus,27 seats,5,32
2026,6,SAMCO,Vaccum tank truck,Vaccum tank truck (SPV),3 seats,4,4
2026,6,YUCHAI YCK11 410,LIMOUSINE GR24W-YCK11,Medium bus,24 seats,3,3
2026,6,Daewoo Truck,CL4TF/CL4T8/CL4DF,Light truck,,2,18
2026,6,Honda,Civic Hybrid,Hybrid,5 seats,2,313
2026,6,Toyota,Camry,Sedan,5 seats,2,75
2026,6,VIDABUS,G8,Large bus,29-34 seats,1,5
2026,6,YUCHAI YCK05 248,YCK05 GR24S,Medium bus,24 seats,1,2
2026,6,YUCHAI 6MK 385,UNIVERSE K47S-YE5,Large bus,47 seats,1,2
2026,6,SAMCO,Garbage compactor truck,Garbage compactor truck (SPV),3 seats,1,4
2026,6,VIDABUS,GVD090,City bus,60 seats,,1
2026,6,Daewoo Truck,HC/HU,Light truck,,,2
2026,6,NGVANG NS700 + DV,8D0O0NGVANG NS700,Light truck,2~3,,153
2026,6,YUCHAI YCS06 270,YCS06 GR29S06,Medium bus,29 seats,,3
2026,6,YUCHAI YCK05 248,UNIVERSE K29S-YCK05,Medium bus,29 seats,,2
2026,6,YUCHAI YCK11 410,LIMOUSINE GR26-YCK11,Medium bus,26 seats,,1
2026,6,Honda,Civic TypeR,Others,5 seats,,1
2026,6,SAMCO,Hooklift,Hooklift (SPV),3 seats,,3
2026,6,SAMCO,Fire truck,Fire fighting truck (SPV),7 seats,,2
2026,6,SAMCO,SAMCO B40 ~ B80,Large bus,40 seats,,70
2026,6,Isuzu,Bus Chassis,Chassis,,,71
2026,6,Toyota,Wigo,Sedan,5 seats,,203
2026,6,Toyota,Alphard,MPV,7 seats,,11
2026,6,Toyota,Fortuner,SUV,7 seats,,183
2026,6,Toyota,Corolla Hybrid,Hybrid,6 seats,,2
2026,6,Toyota,Corolla,Sedan,5 seats,,14
2026,6,Mitsubishi,Pajero Sport,SUV,7 seats,,81
2026,5,THACO TRUCK,Truck,Light truck,2 seats,2170,10346
2026,5,Toyota,Yaris Cross,SUV,5 seats,1214,6057
2026,5,THACO MAZDA,CX-5,Crossover,5 seats,1159,6979
2026,5,Mitsubishi,Xpander (CBU),MPV,7 seats,1075,5281
2026,5,Ford,Everest,SUV,7 seats,1062,5283
2026,5,Isuzu,Truck,Other Truck,3 seats,1055,4059
2026,5,Ford,Territory,MPV,5 seats,1015,5360
2026,5,Mitsubishi,Destinator,SUV,7 seats,940,4502
2026,5,Ford,Ranger CKD,Pick-up,5 seats,843,4883
2026,5,Toyota,Veloz Cross,MPV,7 seats,797,4475
2026,5,THACO KIA,Seltos,Crossover,5 seats,760,3827
2026,5,Mitsubishi,Xforce,SUV,5 seats,693,5204
2026,5,Toyota,Hilux,Pick-up,5 seats,648,2981
2026,5,Toyota,Vios,Sedan,5 seats,626,4113
2026,5,THACO KIA,Sonet,Crossover,5 seats,610,3431
2026,5,Toyota,Innova Cross,MPV,8 seats,578,2326
2026,5,Toyota,Corolla Cross Hybrid,Hybrid,5 seats,577,2216
2026,5,Honda Honda,CITY,Sedan,5 seats,445,2610
2026,5,THACO MAZDA,Mazda2,Sedan,5 seats,434,2121
2026,5,Honda,CR-V Hybrid,Hybrid,5 seats,426,1531
2026,5,THACO KIA,Carnival,MPV,7 seats,400,1860
2026,5,THACO KIA5. VA,CMareAnssendtomedia_May26,SUV,Pa7g seeats 1,372,
2026,5,Honda,HR-V,SUV,5 seats,369,1479
2026,5,Toyota,Raize,SUV,5 seats,323,1304
2026,5,Ford,Transit,Minibus,16 seats,313,1650
2026,5,THACO MAZDA,CX-8,SUV,7 seats,286,1494
2026,5,JMC,IZ,Light truck,,255,980
2026,5,Ford,Ranger CBU,Pick-up,5 seats,246,1251
2026,5,Hino,HINO,Other Truck,3 seats,244,1438
2026,5,THACO MAZDA,Mazda3,Sedan,5 seats,233,1376
2026,5,Suzuki,Super Carry Pro,Small truck,2 seats,229,1218
2026,5,Honda,BR-V,MPV,7 seats,222,1127
2026,5,Toyota,Yaris Cross Hybrid,Hybrid,5 seats,216,883
2026,5,Honda,CR-V,SUV,7 seats,206,1580
2026,5,Toyota,Corolla Cross,SUV,5 seats,197,716
2026,5,BUS THACO,Bus,Large bus,12 ~ 45 seats,185,907
2026,5,Mitsubishi,Xpander (CKD),MPV,7 seats,161,1459
2026,5,Toyota,Innova Cross Hybrid,Hybrid,7 seats,155,1627
2026,5,THACO KIA,Sportage,SUV,5 seats,140,663
2026,5,Mitsubishi,Triton,Pick-up,5 seats,135,1319
2026,5,THACO KIA,Xe khác,Others,5 seats,128,813
2026,5,Honda,HR-V Hybrid,Hybrid 5 seats,,127,573
2026,5,Suzuki,Fronx,SUV,5 seats,115,480
2026,5,Toyota,Fortuner (CBU),SUV,7 seats,109,422
2026,5,Mitsubishi,Attrage,Sedan,5 seats,107,613
2026,5,THACO MAZDA,CX-3,SUV,5 seats,103,469
2026,5,THACO KIA,Sorento,SUV,7 seats,102,396
2026,5,THACO MAZDA,CX-30,SUV,5 seats,89,498
2026,5,THACO PREMIUM,Peugeot,Peugeot,7 seats,84,548
2026,5,Suzuki,XL7 Hybrid,Hybrid,7 seats,74,916
2026,5,Toyota,Avanza Premio CKD,MPV,7 seats,66,387
2026,5,Suzuki,Swift,Hatchback,5 seats,63,126
2026,5,Toyota,Landcruiser,SUV,7 seats,47,308
2026,5,Honda,Civic Hybrid,Hybrid,5 seats,44,311
2026,5,Missu Tải,Missu,Small truck,,43,65
2026,5,Isuzu,D-Max,Pick-up,5 seats,35,352
2026,5,Suzuki,Jimny,SUV,4 seats,35,117
2026,5,Toyota,Land Prado,SUV,7 seats,33,156
2026,5,Toyota,Alphard Hybrid,Hybrid,7 seats,32,143
2026,5,Honda,Civic,Sedan,5 seats,31,91
2026,5,Suzuki,EECO,Van,2 seats,28,303
2026,5,SAMCO,SAMCO B40 ~ B80,Large bus,40 seats,23,70
2026,5,Toyota,Camry Hybrid,Hybrid,5 seats,19,316
2026,5,Ford,Mach-E,BEV,5 seats,14,64
2026,5,Missu Van,Missu,Van,,13,22
2026,5,Isuzu,mu-X,SUV,7 seats,12,74
2026,5,Toyota,Camry,Sedan,5 seats,12,73
2026,5,Daewoo Truck,CL4TF/CL4T8/CL4DF,Light truck,,6,16
2026,5,YUCHAI YCS06 270,YCS06 GR29S06,Medium bus,29 seats,3,3
2026,5,SAMCO,SAMCO 24 CN ~ 46CN,Medium bus,27 seats,3,27
2026,5,Toyota,Wigo,Sedan,5 seats,3,203
2026,5,YUCHAI YCK05 248,UNIVERSE K29S-YCK05,Medium bus,29 seats,2,2
2026,5,VIDABUS,G8,Large bus,29-34 seats,1,4
2026,5,YUCHAI YCK05 248,YCK05 GR24S,Medium bus,24 seats,1,1
2026,5,YUCHAI YCK11 410,LIMOUSINE GR26-YCK11,Medium bus,26 seats,1,1
2026,5,YUCHAI 6MK 385,UNIVERSE K47S-YE5,Large bus,47 seats,1,1
2026,5,SAMCO,Garbage compactor truck,Garbage compactor truck (SPV),3 seats,1,3
2026,5,Toyota,Fortuner,SUV,7 seats,1,183
2026,5,VIDABUS,GVD090,City bus,60 seats,,1
2026,5,VIDABUS,G12,Large bus,47 seats,,20
